id,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
0,2,1,4,2,0,3,1,2,0.5,0.4848,0.42,0.194,9
1,4,0,9,12,0,1,1,2,0.68,0.6364,0.79,0.1642,209
2,2,1,4,0,0,3,1,1,0.34,0.303,0.36,0.4179,30
3,2,1,6,15,0,0,0,1,0.7,0.6364,0.34,0.0,644
4,4,1,10,10,0,3,1,1,0.56,0.5303,0.52,0.2985,217
5,3,0,8,4,0,5,1,1,0.62,0.5606,0.88,0.0,8
6,1,1,2,16,0,0,0,1,0.36,0.3333,0.32,0.2537,339
7,3,0,9,18,0,6,0,1,0.72,0.6667,0.58,0.194,360
8,3,1,8,18,0,1,1,1,0.78,0.7121,0.52,0.2537,834
9,3,1,8,0,0,5,1,1,0.68,0.2424,0.57,0.1642,88
10,3,0,8,20,0,6,0,3,0.72,0.6970000000000001,0.79,0.2836,137
11,4,0,11,6,0,0,0,1,0.34,0.3333,0.66,0.1343,23
12,4,1,11,6,0,3,1,1,0.28,0.303,0.87,0.0896,101
13,3,1,9,7,0,3,1,1,0.52,0.5,0.63,0.2239,545
14,1,1,1,13,0,4,1,1,0.34,0.303,0.42,0.2985,118
15,1,1,1,15,0,5,1,2,0.22,0.2273,0.35,0.194,156
16,4,1,10,3,0,6,0,1,0.32,0.303,0.66,0.2239,15
17,4,1,10,0,0,3,1,1,0.38,0.3939,0.76,0.0,49
18,2,0,3,17,0,3,1,3,0.26,0.2727,0.93,0.1045,116
19,2,0,5,15,0,4,1,2,0.64,0.6212,0.53,0.2537,217
20,3,1,7,7,0,5,1,2,0.7,0.6515,0.54,0.0,380
21,3,1,6,12,0,5,1,1,0.84,0.7879,0.49,0.1343,254
22,3,0,9,3,1,1,0,2,0.68,0.6364,0.74,0.2985,16
23,1,0,2,3,0,3,1,2,0.2,0.197,0.47,0.194,1
24,3,0,8,6,0,0,0,2,0.64,0.5606,0.94,0.1045,6
25,2,1,4,20,0,1,1,1,0.5,0.4848,0.36,0.4478,276
26,4,1,10,13,0,2,1,1,0.52,0.5,0.45,0.2836,328
27,1,0,3,4,0,5,1,2,0.18,0.1818,0.74,0.194,1
